"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1828945645903983100","Wed Aug 28 23:59:56 +0000 2024","0","Ng utek e mung tentang kedonyan pdhl persiapan megathrust sing digowo mung klambi. Toh jokowi bien tukang kayu saiki yo dadi presiden. Poinnya nyapo kok aku blas raenek insecure2 e ng kwe mergo sesimple ndilat idu dewe e gak tak lakoni. Itulah kelas ","1828945645903983100","","","in","","0","1","0","https://x.com/thaniaaks/status/1828945645903983100","3222100710","thaniaaks"
"1828944726168572305","Wed Aug 28 23:56:17 +0000 2024","0","Rawan bencana gempa Megathrust BPBD Mentawai sebut akan melakukan pendampingan: Mulai dari sekolah Media - Indonesia Insider https://t.co/AfmffFsfDn","1828944726168572305","","","in","Jakarta Capital Region","0","0","0","https://x.com/KasanBaret/status/1828944726168572305","892015585231380480","KasanBaret"
"1828944669977518333","Wed Aug 28 23:56:04 +0000 2024","0","BMKG ingatkan adanya potensi gempa Megathrust di Mentawai masih ada: Picu gempa 8 9 SR - Indonesia Insider https://t.co/ElL5mX43Df","1828944669977518333","","","in","Jakarta Capital Region","0","0","0","https://x.com/KasanBaret/status/1828944669977518333","892015585231380480","KasanBaret"
"1828746351456420204","Wed Aug 28 23:44:05 +0000 2024","0","@ngapawoi Dan ketika gempa megathrust terjadi. Smua teknologi mati senyap.. Mari dipikir ulang..","1828941656521048511","","ngapawoi","in","Jakarta","0","0","0","https://x.com/rizqydar/status/1828941656521048511","160131706","rizqydar"
"1828937880368267621","Wed Aug 28 23:29:05 +0000 2024","0","Ciptaan Tuhan yg dilarang manusia #LoL #AK64 #TheGreatestOfAllTime #GoodBadUgly #TheGOATTrailer #Megathrust #Indonesia https://t.co/bjagfbUucs","1828937880368267621","https://pbs.twimg.com/ext_tw_video_thumb/1828937679930830848/pu/img/NWLO-hTeHG3ca8j8.jpg","","in","","0","0","0","https://x.com/maintarik/status/1828937880368267621","1808523727455518720","maintarik"
"1828452658837102774","Wed Aug 28 23:08:15 +0000 2024","0","@S4N_W1B1 Caranya cuman demi brutal gitu? nghayal aja....mending duitnya disimpen buat menyiapkan diri menghadapi bencana megathrust dr pd dipake buat bayarin org suruh ngamuk².","1828932640168358329","","S4N_W1B1","in","Vlaak bij de Buitenzorg","0","0","0","https://x.com/mmarleyt/status/1828932640168358329","171505851","mmarleyt"
"1828932107361759591","Wed Aug 28 23:06:08 +0000 2024","0","denger2 gempa megathrust mau geser indonesia ke benua eropa","1828932107361759591","","","in","indonesia sumatera utara medan","0","0","0","https://x.com/murthadaali/status/1828932107361759591","1107663309447356416","murthadaali"
"1828813821655568407","Wed Aug 28 23:01:23 +0000 2024","2","@tekarok007 @AgusYudhoyono Sebaliknya mereka diam karena mereka senang Mungkin mereka senang karena beliau ga jadi repot2 membersihkan puing2 reruntuhan bangunan akibat gempa megathrust ","1828930908105424947","","tekarok007","in","Skypiea","0","0","0","https://x.com/kucingbumbum/status/1828930908105424947","1546034308003266560","kucingbumbum"
"1828356581970571411","Wed Aug 28 21:36:39 +0000 2024","0","@kumparan Ga takut ama megathrust pak","1828909585274691874","","kumparan","in","","0","0","0","https://x.com/ram_sudrajat/status/1828909585274691874","1548340390662512643","ram_sudrajat"
"1828857860639600713","Wed Aug 28 18:11:07 +0000 2024","0","Viral Kunjungan Wisatawan ke Banten Disebut Turun karena Isu Megathrust BMKG Ungkap Fakta Ini https://t.co/Is5J9li9aP","1828857860639600713","","","in","iNews Tower","0","0","0","https://x.com/officialinews_/status/1828857860639600713","132078023","officialinews_"
"1828846569858445411","Wed Aug 28 17:26:15 +0000 2024","0","bulan ini kiamat M nya banyak bgt.. monkey pox megathrust mulyono.. skg moon t***l","1828846569858445411","","","in","","0","0","0","https://x.com/doiemoie/status/1828846569858445411","778793192397299713","doiemoie"
"1828845999798067600","Wed Aug 28 17:23:59 +0000 2024","0"," Megathrust skala kecil Ya berarti bukan megathrust Mirip kaya bilang raksasa berbadan kecil ya berarti bukan raksasa","1828845999798067600","","","in","Only one call away","0","0","0","https://x.com/ardhawm/status/1828845999798067600","186905456","ardhawm"
"1828845316382306495","Wed Aug 28 17:21:16 +0000 2024","0","megathrust monkeypox mk mulyono moon taeil.. ada apa dg huruf m di agustus 2024..","1828845316382306495","","","in","","0","0","0","https://x.com/skandinavy/status/1828845316382306495","1706794888149544960","skandinavy"
"1828841350714011904","Wed Aug 28 17:05:30 +0000 2024","2","gw liat2 bmkg lg sering2nya update gempa anjir ngeri banget kl tb2 bnrn megathrust","1828841350714011904","","","in","","0","1","0","https://x.com/penikmattaichan/status/1828841350714011904","1747261407744425984","penikmattaichan"
